Seed,Fold,Baseline,Topk,Explainer,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,2,Average,0.1,extremal_mask_bi_gru,0.985,0.01261,0.1112,-0.02061,-0.00954
42,2,Average,0.2,extremal_mask_none,0.9828,0.01356,0.1134,-0.0228,-0.009829
42,2,Average,0.2,extremal_mask_gru,0.9824,0.0169,0.118,-0.02739,-0.01306
42,2,Average,0.2,extremal_mask_bi_gru,0.9841,0.01306,0.1124,-0.02175,-0.01008
42,2,Average,0.3,extremal_mask_none,0.9826,0.01256,0.1122,-0.02158,-0.009115
42,2,Average,0.3,extremal_mask_gru,0.9826,0.01674,0.1179,-0.02724,-0.0129
42,2,Average,0.3,extremal_mask_bi_gru,0.9837,0.01306,0.1123,-0.02165,-0.01013
42,2,Average,0.4,extremal_mask_none,0.983,0.01128,0.1105,-0.01991,-0.00815
42,2,Average,0.4,extremal_mask_gru,0.9824,0.01633,0.1172,-0.02663,-0.01273
42,2,Average,0.4,extremal_mask_bi_gru,0.9841,0.0129,0.112,-0.02139,-0.009847
42,2,Average,0.5,extremal_mask_none,0.9822,0.01048,0.1094,-0.0188,-0.008
42,2,Average,0.5,extremal_mask_gru,0.9813,0.01565,0.1163,-0.02572,-0.0122
42,2,Average,0.5,extremal_mask_bi_gru,0.983,0.01235,0.1113,-0.02072,-0.00935
42,2,Average,0.6,extremal_mask_none,0.9828,0.009394,0.1081,-0.01746,-0.007716
42,2,Average,0.6,extremal_mask_gru,0.9817,0.01182,0.1112,-0.0206,-0.01054
42,2,Average,0.6,extremal_mask_bi_gru,0.9841,0.01004,0.1081,-0.01745,-0.008148
42,2,Zeros,0.1,extremal_mask_none,0.9545,0.1051,0.2981,-0.2075,-0.06891
42,2,Zeros,0.1,extremal_mask_gru,0.9502,0.1183,0.3159,-0.2253,-0.07132
42,2,Zeros,0.1,extremal_mask_bi_gru,0.9517,0.09405,0.2733,-0.1827,-0.06531
42,2,Zeros,0.2,extremal_mask_none,0.96,0.09707,0.2954,-0.2048,-0.06657
42,2,Zeros,0.2,extremal_mask_gru,0.9552,0.1199,0.3298,-0.2392,-0.07232
42,2,Zeros,0.2,extremal_mask_bi_gru,0.9552,0.09464,0.2811,-0.1904,-0.06568
42,2,Zeros,0.3,extremal_mask_none,0.9628,0.09006,0.2865,-0.1959,-0.06351
42,2,Zeros,0.3,extremal_mask_gru,0.9604,0.1195,0.3318,-0.2412,-0.07149
42,2,Zeros,0.3,extremal_mask_bi_gru,0.96,0.09365,0.2852,-0.1946,-0.06437
42,2,Zeros,0.4,extremal_mask_none,0.9648,0.07946,0.2736,-0.183,-0.05975
42,2,Zeros,0.4,extremal_mask_gru,0.9628,0.1175,0.3304,-0.2398,-0.06995
42,2,Zeros,0.4,extremal_mask_bi_gru,0.9622,0.09257,0.2875,-0.1969,-0.06239
42,2,Zeros,0.5,extremal_mask_none,0.965,0.07415,0.2683,-0.1777,-0.05708
42,2,Zeros,0.5,extremal_mask_gru,0.9632,0.114,0.326,-0.2354,-0.06768
42,2,Zeros,0.5,extremal_mask_bi_gru,0.9632,0.08881,0.2852,-0.1945,-0.05948
42,2,Zeros,0.6,extremal_mask_none,0.9676,0.06106,0.2474,-0.1568,-0.05383
42,2,Zeros,0.6,extremal_mask_gru,0.9656,0.0842,0.2789,-0.1882,-0.0628
42,2,Zeros,0.6,extremal_mask_bi_gru,0.9654,0.0686,0.2539,-0.1633,-0.05439
42,3,Average,0.1,extremal_mask_none,0.9813,0.0156,0.1211,-0.02492,-0.009364
42,3,Average,0.1,extremal_mask_gru,0.9819,0.01677,0.1231,-0.02689,-0.01057
42,3,Average,0.1,extremal_mask_bi_gru,0.9819,0.0129,0.1178,-0.0216,-0.007386
42,3,Average,0.2,extremal_mask_none,0.9811,0.01511,0.1211,-0.02489,-0.008833
42,3,Average,0.2,extremal_mask_gru,0.9796,0.01775,0.1249,-0.02873,-0.01131
42,3,Average,0.2,extremal_mask_bi_gru,0.9824,0.01328,0.1187,-0.02254,-0.007793
42,3,Average,0.3,extremal_mask_none,0.9815,0.01421,0.1199,-0.02378,-0.008219
42,3,Average,0.3,extremal_mask_gru,0.9793,0.01783,0.125,-0.02882,-0.01152
42,3,Average,0.3,extremal_mask_bi_gru,0.9813,0.01331,0.1187,-0.0225,-0.007756
42,3,Average,0.4,extremal_mask_none,0.9802,0.01329,0.1186,-0.02246,-0.007606
42,3,Average,0.4,extremal_mask_gru,0.9785,0.01777,0.1249,-0.02874,-0.01142
42,3,Average,0.4,extremal_mask_bi_gru,0.9813,0.01332,0.1187,-0.02252,-0.007644
42,3,Average,0.5,extremal_mask_none,0.9802,0.01278,0.1179,-0.02176,-0.00765
42,3,Average,0.5,extremal_mask_gru,0.9783,0.01732,0.1243,-0.02811,-0.01112
42,3,Average,0.5,extremal_mask_bi_gru,0.9806,0.01308,0.1185,-0.02231,-0.007351
42,3,Average,0.6,extremal_mask_none,0.9787,0.01196,0.1171,-0.02094,-0.007548
42,3,Average,0.6,extremal_mask_gru,0.9783,0.01312,0.1186,-0.02241,-0.009859
42,3,Average,0.6,extremal_mask_bi_gru,0.9811,0.01099,0.1156,-0.01946,-0.006239
42,3,Zeros,0.1,extremal_mask_none,0.9391,0.1216,0.3162,-0.22,-0.07365
42,3,Zeros,0.1,extremal_mask_gru,0.9328,0.1247,0.327,-0.2309,-0.07505
42,3,Zeros,0.1,extremal_mask_bi_gru,0.9391,0.09706,0.2832,-0.187,-0.06767
42,3,Zeros,0.2,extremal_mask_none,0.9489,0.1116,0.3097,-0.2135,-0.0708
42,3,Zeros,0.2,extremal_mask_gru,0.9382,0.1262,0.3396,-0.2434,-0.07497
42,3,Zeros,0.2,extremal_mask_bi_gru,0.9402,0.0981,0.293,-0.1968,-0.06751
42,3,Zeros,0.3,extremal_mask_none,0.9554,0.1037,0.3001,-0.2039,-0.06704
42,3,Zeros,0.3,extremal_mask_gru,0.9469,0.1264,0.3434,-0.2473,-0.07362
42,3,Zeros,0.3,extremal_mask_bi_gru,0.9478,0.09723,0.2979,-0.2017,-0.06514
42,3,Zeros,0.4,extremal_mask_none,0.958,0.09329,0.2889,-0.1927,-0.06259
42,3,Zeros,0.4,extremal_mask_gru,0.9493,0.1248,0.3441,-0.2479,-0.07177
42,3,Zeros,0.4,extremal_mask_bi_gru,0.9498,0.09509,0.2982,-0.2021,-0.06219
42,3,Zeros,0.5,extremal_mask_none,0.9585,0.08702,0.2817,-0.1856,-0.05988
42,3,Zeros,0.5,extremal_mask_gru,0.9528,0.1202,0.34,-0.2438,-0.06901
42,3,Zeros,0.5,extremal_mask_bi_gru,0.9545,0.09029,0.2957,-0.1995,-0.05842
42,3,Zeros,0.6,extremal_mask_none,0.96,0.07719,0.2655,-0.1694,-0.05659
42,3,Zeros,0.6,extremal_mask_gru,0.9611,0.0903,0.2911,-0.195,-0.06387
42,3,Zeros,0.6,extremal_mask_bi_gru,0.9604,0.07391,0.2612,-0.165,-0.05245
42,4,Average,0.1,extremal_mask_none,0.9798,0.01363,0.1171,-0.02297,-0.01033
42,4,Average,0.1,extremal_mask_gru,0.9798,0.01607,0.1206,-0.02651,-0.01263
42,4,Average,0.1,extremal_mask_bi_gru,0.9796,0.01889,0.1235,-0.02935,-0.01469
42,4,Average,0.2,extremal_mask_none,0.9787,0.01276,0.1173,-0.02319,-0.009537
42,4,Average,0.2,extremal_mask_gru,0.9765,0.01742,0.1239,-0.02974,-0.01378
42,4,Average,0.2,extremal_mask_bi_gru,0.9783,0.02017,0.1263,-0.03216,-0.01588
42,4,Average,0.3,extremal_mask_none,0.98,0.0117,0.1157,-0.02162,-0.008844
42,4,Average,0.3,extremal_mask_gru,0.9774,0.01742,0.124,-0.02991,-0.01392
42,4,Average,0.3,extremal_mask_bi_gru,0.978,0.02035,0.1266,-0.03251,-0.01606
42,4,Average,0.4,extremal_mask_none,0.9804,0.01022,0.1138,-0.01964,-0.00794
42,4,Average,0.4,extremal_mask_gru,0.9765,0.017,0.1235,-0.02935,-0.01355
42,4,Average,0.4,extremal_mask_bi_gru,0.9783,0.02019,0.1265,-0.03238,-0.01595
42,4,Average,0.5,extremal_mask_none,0.9791,0.009506,0.1127,-0.01858,-0.007877
42,4,Average,0.5,extremal_mask_gru,0.9776,0.0161,0.1219,-0.02781,-0.01298
42,4,Average,0.5,extremal_mask_bi_gru,0.9774,0.01947,0.1257,-0.03163,-0.01559
42,4,Average,0.6,extremal_mask_none,0.9789,0.00887,0.1123,-0.01815,-0.007817
42,4,Average,0.6,extremal_mask_gru,0.9785,0.01144,0.116,-0.02189,-0.01145
42,4,Average,0.6,extremal_mask_bi_gru,0.9783,0.01406,0.1192,-0.02503,-0.0139
42,4,Zeros,0.1,extremal_mask_none,0.9454,0.09057,0.3131,-0.219,-0.07032
42,4,Zeros,0.1,extremal_mask_gru,0.9408,0.1064,0.3344,-0.2403,-0.07348
42,4,Zeros,0.1,extremal_mask_bi_gru,0.9339,0.1319,0.3632,-0.2691,-0.07474
42,4,Zeros,0.2,extremal_mask_none,0.9508,0.0747,0.3218,-0.2277,-0.06884
42,4,Zeros,0.2,extremal_mask_gru,0.9441,0.108,0.3701,-0.276,-0.07566
42,4,Zeros,0.2,extremal_mask_bi_gru,0.9395,0.1338,0.396,-0.3018,-0.07649
42,4,Zeros,0.3,extremal_mask_none,0.9552,0.06484,0.3128,-0.2187,-0.06576
42,4,Zeros,0.3,extremal_mask_gru,0.9482,0.1058,0.375,-0.2809,-0.07478
42,4,Zeros,0.3,extremal_mask_bi_gru,0.9439,0.1326,0.4037,-0.3096,-0.07602
42,4,Zeros,0.4,extremal_mask_none,0.9563,0.04988,0.2962,-0.2021,-0.06134
42,4,Zeros,0.4,extremal_mask_gru,0.953,0.1017,0.3745,-0.2803,-0.07326
42,4,Zeros,0.4,extremal_mask_bi_gru,0.9513,0.1285,0.4046,-0.3104,-0.07487
42,4,Zeros,0.5,extremal_mask_none,0.9561,0.04231,0.2907,-0.1966,-0.05819
42,4,Zeros,0.5,extremal_mask_gru,0.955,0.09317,0.3674,-0.2732,-0.07088
42,4,Zeros,0.5,extremal_mask_bi_gru,0.9537,0.119,0.3961,-0.302,-0.07299
42,4,Zeros,0.6,extremal_mask_none,0.9582,0.03194,0.276,-0.1819,-0.0549
42,4,Zeros,0.6,extremal_mask_gru,0.9585,0.05815,0.3219,-0.2278,-0.06664
42,4,Zeros,0.6,extremal_mask_bi_gru,0.9572,0.0763,0.3431,-0.249,-0.06941
