Seed,Preservation,Deletion,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,True,True,3,Zeros,0.1,extremal_mask,1.0,1.0,0.97,-0.01654,0.1484,-0.04634,0.01702
42,True,True,3,Zeros,0.2,extremal_mask,1.0,1.0,0.97,-0.01623,0.1573,-0.05521,0.02482
42,True,True,3,Zeros,0.3,extremal_mask,1.0,1.0,0.97,-0.01454,0.1613,-0.05925,0.0313
42,True,True,3,Zeros,0.4,extremal_mask,1.0,1.0,0.97,-0.01293,0.1656,-0.06351,0.03556
42,True,True,3,Zeros,0.5,extremal_mask,1.0,1.0,0.9698,-0.01144,0.1692,-0.06714,0.03941
42,True,True,3,Zeros,0.6,extremal_mask,1.0,1.0,0.9698,-0.01285,0.1657,-0.06359,0.04523
42,True,True,4,Average,0.1,extremal_mask,1.0,1.0,0.9839,-0.000969,0.101,-0.005149,0.002687
42,True,True,4,Average,0.2,extremal_mask,1.0,1.0,0.9828,-0.0009274,0.1015,-0.00565,0.002897
42,True,True,4,Average,0.3,extremal_mask,1.0,1.0,0.9828,-0.0006986,0.1017,-0.005882,0.002952
42,True,True,4,Average,0.4,extremal_mask,1.0,1.0,0.983,-0.0007646,0.1015,-0.005692,0.003325
42,True,True,4,Average,0.5,extremal_mask,1.0,1.0,0.9826,-0.0009103,0.1014,-0.005526,0.003536
42,True,True,4,Average,0.6,extremal_mask,1.0,1.0,0.9835,-0.0009714,0.1011,-0.00526,0.003496
42,True,True,4,Zeros,0.1,extremal_mask,1.0,1.0,0.9661,-0.004529,0.1818,-0.08596,-0.04085
42,True,True,4,Zeros,0.2,extremal_mask,1.0,1.0,0.9661,-0.007762,0.194,-0.09818,-0.03076
42,True,True,4,Zeros,0.3,extremal_mask,1.0,1.0,0.9659,-0.009256,0.2016,-0.1057,-0.01941
42,True,True,4,Zeros,0.4,extremal_mask,1.0,1.0,0.9656,-0.01049,0.2073,-0.1115,-0.009735
42,True,True,4,Zeros,0.5,extremal_mask,1.0,1.0,0.9654,-0.01206,0.2087,-0.1129,-0.0002483
42,True,True,4,Zeros,0.6,extremal_mask,1.0,1.0,0.9652,-0.0153,0.2042,-0.1084,0.0107
42,True,True,0,Average,0.1,extremal_mask,1.0,1.0,0.9841,0.0004422,0.09839,-0.006947,3.596e-05
42,True,True,0,Average,0.2,extremal_mask,1.0,1.0,0.9817,0.0006346,0.09932,-0.007882,8.351e-05
42,True,True,0,Average,0.3,extremal_mask,1.0,1.0,0.9822,0.0006566,0.09948,-0.00804,0.0003919
42,True,True,0,Average,0.4,extremal_mask,1.0,1.0,0.9813,0.0006815,0.0994,-0.00796,0.0004252
42,True,True,0,Average,0.5,extremal_mask,1.0,1.0,0.9826,0.0006223,0.09932,-0.007877,0.0005768
42,True,True,0,Average,0.6,extremal_mask,1.0,1.0,0.9828,0.0005778,0.09913,-0.007684,0.0008674
42,True,True,0,Zeros,0.1,extremal_mask,1.0,1.0,0.9689,0.003566,0.1744,-0.08298,-0.03281
42,True,True,0,Zeros,0.2,extremal_mask,1.0,1.0,0.9691,0.001865,0.1844,-0.09294,-0.02857
42,True,True,0,Zeros,0.3,extremal_mask,1.0,1.0,0.9691,0.001121,0.1869,-0.09544,-0.02151
42,True,True,0,Zeros,0.4,extremal_mask,1.0,1.0,0.9689,0.001722,0.189,-0.0976,-0.01465
42,True,True,0,Zeros,0.5,extremal_mask,1.0,1.0,0.9685,0.00153,0.189,-0.0976,-0.007944
42,True,True,0,Zeros,0.6,extremal_mask,1.0,1.0,0.9685,-0.001207,0.183,-0.09155,0.000778

42,False,True,1,Average,0.1,extremal_mask,1.0,1.0,0.9878,-0.01924,0.0705,0.01735,0.02868
42,False,True,1,Average,0.2,extremal_mask,1.0,1.0,0.9874,-0.01845,0.07158,0.01627,0.02777
42,False,True,1,Average,0.3,extremal_mask,1.0,1.0,0.9872,-0.01739,0.07286,0.01498,0.0264
42,False,True,1,Average,0.4,extremal_mask,1.0,1.0,0.9867,-0.01618,0.07433,0.01351,0.02502
42,False,True,1,Average,0.5,extremal_mask,1.0,1.0,0.9867,-0.01512,0.07563,0.01221,0.02342
42,False,True,1,Average,0.6,extremal_mask,1.0,1.0,0.9861,-0.01402,0.07704,0.0108,0.02144
42,False,True,1,Zeros,0.1,extremal_mask,1.0,1.0,0.9748,-0.05026,0.1839,-0.09604,0.1983
