Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Average,0.1,occlusion,1.0,1.0,0.9911,-0.002622,0.08935,0.001692,0.004373
42,1,Average,0.1,retain,1.0,1.0,0.9915,-0.004004,0.08786,0.003184,0.00652
42,1,Average,0.2,deep_lift,1.0,1.0,0.9887,-0.001017,0.09147,-0.0004277,0.002225
42,1,Average,0.2,dyna_mask,1.0,1.0,0.9917,-9.844e-05,0.09215,-0.001107,0.001354
42,1,Average,0.2,extremal_mask,1.0,1.0,0.9859,0.01043,0.1086,-0.01732,-0.008167
42,1,Average,0.2,integrated_gradients,1.0,1.0,0.9885,-0.0008583,0.09172,-0.0006727,0.001991
42,1,Average,0.2,gradient_shap,1.0,1.0,0.9893,-0.001175,0.09357,-0.0009153,0.00429
42,1,Average,0.2,lime,1.0,1.0,0.9974,-0.001038,0.08987,0.00117,0.002292
42,1,Average,0.2,augmented_occlusion,1.0,1.0,0.9898,-0.0008794,0.09186,-0.0008202,0.001936
42,1,Average,0.2,occlusion,1.0,1.0,0.9887,-0.002985,0.08965,0.001395,0.004452
42,1,Average,0.2,retain,1.0,1.0,0.9898,-0.005045,0.08744,0.0036,0.007553
42,1,Average,0.3,deep_lift,1.0,1.0,0.9876,-0.0008641,0.09218,-0.001135,0.00219
42,1,Average,0.3,dyna_mask,1.0,1.0,0.9909,0.000186,0.09303,-0.001989,0.001251
42,1,Average,0.3,extremal_mask,1.0,1.0,0.9843,0.01041,0.1085,-0.01724,-0.008475
42,1,Average,0.3,integrated_gradients,1.0,1.0,0.9878,-0.0007651,0.09238,-0.001337,0.002252
42,1,Average,0.3,gradient_shap,1.0,1.0,0.9878,-0.001069,0.09436,-0.001703,0.004302
42,1,Average,0.3,lime,1.0,1.0,0.9959,-0.001462,0.08961,0.001435,0.002169
42,1,Average,0.3,augmented_occlusion,1.0,1.0,0.9874,-0.0003438,0.09327,-0.002222,0.0016
42,1,Average,0.3,occlusion,1.0,1.0,0.9878,-0.002752,0.09023,0.0008092,0.004301
42,1,Average,0.3,retain,1.0,1.0,0.9883,-0.005111,0.08779,0.003251,0.007346
42,1,Average,0.4,deep_lift,1.0,1.0,0.9867,-0.0009817,0.09266,-0.001621,0.002329
42,1,Average,0.4,dyna_mask,1.0,1.0,0.9896,0.0003012,0.09341,-0.002364,0.001107
42,1,Average,0.4,extremal_mask,1.0,1.0,0.9839,0.01026,0.1084,-0.01711,-0.008469
42,1,Average,0.4,integrated_gradients,1.0,1.0,0.9867,-0.001014,0.09243,-0.001382,0.002346
42,1,Average,0.4,gradient_shap,1.0,1.0,0.9872,-0.0007962,0.095,-0.002341,0.004158
42,1,Average,0.4,lime,1.0,1.0,0.9859,0.002229,0.09614,-0.005094,0.002179
42,1,Average,0.4,augmented_occlusion,1.0,1.0,0.9863,0.0001842,0.09428,-0.00324,0.001316
42,1,Average,0.4,occlusion,1.0,1.0,0.9878,-0.002281,0.0912,-0.000155,0.003673
42,1,Average,0.4,retain,1.0,1.0,0.9867,-0.004657,0.08867,0.002372,0.006632
42,1,Average,0.5,deep_lift,1.0,1.0,0.9865,-0.0008737,0.09335,-0.00231,0.002114
42,1,Average,0.5,dyna_mask,1.0,1.0,0.9891,0.0001291,0.09343,-0.00239,0.001086
42,1,Average,0.5,extremal_mask,1.0,1.0,0.9848,0.009712,0.1078,-0.01657,-0.008127
