Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,2,Zeros,0.1,extremal_mask,0.01,10.0,0.8739,0.2564,0.4578,-0.3718,-0.06071
42,2,Zeros,0.2,extremal_mask,0.01,10.0,0.876,0.2681,0.5206,-0.4347,-0.07028
42,2,Zeros,0.3,extremal_mask,0.01,10.0,0.8847,0.2715,0.5446,-0.4587,-0.07281
42,2,Zeros,0.4,extremal_mask,0.01,10.0,0.8926,0.2744,0.5548,-0.4689,-0.07331
42,2,Zeros,0.5,extremal_mask,0.01,10.0,0.9006,0.2745,0.5565,-0.4706,-0.07322
42,2,Zeros,0.6,extremal_mask,0.01,10.0,0.9132,0.2589,0.5293,-0.4434,-0.0727
42,3,Average,0.1,extremal_mask,0.01,10.0,0.9809,0.03556,0.1417,-0.04584,-0.02315
42,3,Average,0.2,extremal_mask,0.01,10.0,0.9769,0.03831,0.1471,-0.05129,-0.02515
42,3,Average,0.3,extremal_mask,0.01,10.0,0.9741,0.03872,0.1491,-0.0533,-0.02563
42,3,Average,0.4,extremal_mask,0.01,10.0,0.9746,0.03816,0.1489,-0.05306,-0.02539
42,3,Average,0.5,extremal_mask,0.01,10.0,0.9732,0.0374,0.148,-0.05218,-0.02489
42,3,Average,0.6,extremal_mask,0.01,10.0,0.9741,0.03571,0.1457,-0.04992,-0.02362
42,3,Zeros,0.1,extremal_mask,0.01,10.0,0.8565,0.2783,0.4892,-0.3933,-0.07253
42,3,Zeros,0.2,extremal_mask,0.01,10.0,0.8562,0.2908,0.541,-0.4452,-0.08043
42,3,Zeros,0.3,extremal_mask,0.01,10.0,0.866,0.2922,0.5612,-0.4654,-0.08198
42,3,Zeros,0.4,extremal_mask,0.01,10.0,0.8795,0.2918,0.5653,-0.4695,-0.08216
42,3,Zeros,0.5,extremal_mask,0.01,10.0,0.8908,0.2901,0.5626,-0.4668,-0.08192
42,3,Zeros,0.6,extremal_mask,0.01,10.0,0.9102,0.2764,0.5394,-0.4436,-0.08118
42,4,Average,0.1,extremal_mask,0.01,10.0,0.9785,0.03667,0.1482,-0.0487,-0.02455
42,4,Average,0.2,extremal_mask,0.01,10.0,0.9739,0.03921,0.1541,-0.05456,-0.02683
42,4,Average,0.3,extremal_mask,0.01,10.0,0.973,0.03975,0.1568,-0.05726,-0.02756
42,4,Average,0.4,extremal_mask,0.01,10.0,0.9732,0.0394,0.1582,-0.05862,-0.02764
42,4,Average,0.5,extremal_mask,0.01,10.0,0.9713,0.0383,0.1573,-0.05773,-0.02727
42,4,Average,0.6,extremal_mask,0.01,10.0,0.9728,0.03584,0.1538,-0.0543,-0.02559
