Seed,Noise,Activations,Explainer,Purity,Std_0,Std_1
24,0.3,relu,integrated_gradients,0.7408,2.935,0.9858
24,0.3,relu,smooth_grad,0.7336,2.849,0.9841
36,0.05,relu,acc,1.0
36,0.05,relu,geodesic_integrated_gradients_5,0.972,0.0001083,0.001615
36,0.05,relu,geodesic_integrated_gradients_10,0.972,0.0001065,0.001572
36,0.05,relu,geodesic_integrated_gradients_15,0.972,0.000106,0.00157
36,0.05,relu,enhanced_integrated_gradients_5,0.972,0.04262,0.002671
36,0.05,relu,enhanced_integrated_gradients_10,0.972,0.05622,0.001745
36,0.05,relu,enhanced_integrated_gradients_15,0.972,0.06288,0.002146
36,0.05,relu,gradient_shap,0.9432,10.62,3.516
36,0.05,relu,integrated_gradients,0.972,10.14,3.122
36,0.05,relu,smooth_grad,0.972,9.584,3.126
36,0.1,relu,acc,0.9984
36,0.1,relu,geodesic_integrated_gradients_5,0.9688,0.004871,0.06668
36,0.1,relu,geodesic_integrated_gradients_10,0.9688,0.004867,0.06622
36,0.1,relu,geodesic_integrated_gradients_15,0.9688,0.004868,0.06625
36,0.1,relu,enhanced_integrated_gradients_5,0.9688,0.1947,0.1103
36,0.1,relu,enhanced_integrated_gradients_10,0.9688,0.2144,0.106
36,0.1,relu,enhanced_integrated_gradients_15,0.9688,0.1556,0.1074
36,0.1,relu,gradient_shap,0.9192,8.407,4.251
36,0.1,relu,integrated_gradients,0.9592,8.216,3.82
36,0.1,relu,smooth_grad,0.9624,7.9,3.797
36,0.25,relu,acc,0.954
36,0.25,relu,geodesic_integrated_gradients_5,0.8248,0.3125,0.387
36,0.25,relu,geodesic_integrated_gradients_10,0.8704,0.3199,0.3626
36,0.25,relu,geodesic_integrated_gradients_15,0.8728,0.3134,0.3614
36,0.25,relu,enhanced_integrated_gradients_5,0.6576,3.213,0.5409
36,0.25,relu,enhanced_integrated_gradients_10,0.6544,3.299,0.8365
36,0.25,relu,enhanced_integrated_gradients_15,0.58,3.288,0.9077
36,0.25,relu,gradient_shap,0.6664,3.178,1.302
36,0.25,relu,integrated_gradients,0.6656,3.132,1.216
36,0.25,relu,smooth_grad,0.6712,3.039,1.215
36,0.3,relu,acc,0.9264
36,0.3,relu,geodesic_integrated_gradients_5,0.8512,0.2416,0.501
36,0.3,relu,geodesic_integrated_gradients_10,0.8456,0.2546,0.5082
36,0.3,relu,geodesic_integrated_gradients_15,0.8512,0.2567,0.5098
36,0.3,relu,enhanced_integrated_gradients_5,0.5672,0.3429,1.318
36,0.3,relu,enhanced_integrated_gradients_10,0.6344,2.458,0.9938
36,0.3,relu,enhanced_integrated_gradients_15,0.6312,2.211,1.044
36,0.3,relu,gradient_shap,0.6408,2.574,1.096
36,0.3,relu,integrated_gradients,0.636,2.486,1.044
36,0.3,relu,smooth_grad,0.6368,2.451,1.036
48,0.05,relu,acc,1.0
48,0.05,relu,geodesic_integrated_gradients_5,1.0,0.0007227,0.000249
48,0.05,relu,geodesic_integrated_gradients_10,1.0,0.0007223,0.0002492
48,0.05,relu,geodesic_integrated_gradients_15,1.0,0.0007223,0.0002492
48,0.05,relu,enhanced_integrated_gradients_5,1.0,0.4186,0.0005671
